Ticker,Start Date,End Date,Pietroski F-Score,Current Ratio,Liabilities to Equity Ratio,Debt Ratio,Quarterly Return
A,2014-03-05,2014-06-04,5.00000,3.27502,0.95300,0.25334,0.9880436666089066
A,2014-06-04,2014-09-02,5.00000,3.12798,0.95878,0.24424,1.0036829182742897
A,2014-09-02,2014-12-22,5.00000,3.06143,0.84043,0.21349,0.7230473527869999
A,2014-12-22,2015-03-10,6.00000,3.25591,1.03903,0.15377,0.9961333977767036
A,2015-03-10,2015-06-05,4.00000,3.93750,0.77335,0.22051,0.9835031538088307
A,2015-06-05,2015-09-02,7.00000,3.89247,0.78130,0.22342,0.8734583127775036
A,2015-09-02,2015-12-21,7.00000,4.07737,0.76595,0.22824,1.1440271109855973
A,2015-12-21,2016-03-08,8.00000,3.77664,0.79353,0.22129,0.9619846951370032
A,2016-03-08,2016-06-07,6.00000,3.58923,0.80385,0.23733,1.1755196304849886
A,2016-06-07,2016-09-07,8.00000,3.07855,0.83433,0.24725,1.0275049115913555
A,2016-09-07,2016-12-20,8.00000,3.06690,0.77957,0.24399,0.9719566602931804
A,2016-12-20,2017-03-08,7.00000,3.84656,0.83561,0.24429,1.1204371584699453
A,2017-03-08,2017-06-06,6.00000,3.33792,0.83070,0.25305,1.1732344908310575
A,2017-06-06,2017-09-06,8.00000,3.20135,0.83223,0.25487,1.073495177918191
A,2017-09-06,2017-12-21,7.00000,3.21998,0.79159,0.25191,1.0456939281288724
A,2017-12-21,2018-03-06,8.00000,3.30087,0.74271,0.23867,1.003999407495186
A,2018-03-06,2018-05-31,6.00000,3.23071,0.92179,0.24661,0.9243139569194452
A,2018-05-31,2018-08-30,7.00000,3.31502,0.90253,0.24078,1.0694333599361532
A,2018-08-30,2018-12-20,8.00000,3.61637,0.82771,0.21547,0.99
A,2018-12-20,2019-03-05,7.00000,3.28608,0.86852,0.21063,1.2063922810191468
A,2019-03-05,2019-05-30,6.00000,3.38995,0.77760,0.20085,0.8446638340414897
A,2019-05-30,2019-08-30,7.00000,3.40966,0.76039,0.19929,1.0571090397987868
A,2019-08-30,2019-12-19,6.00000,2.13132,0.81694,0.20846,1.1749475157452764
A,2019-12-19,2020-03-03,5.00000,1.53317,0.99073,0.25466,0.975461584276355
A,2020-03-03,2020-06-01,4.00000,1.63953,0.95978,0.25913,1.0751007449016974
